id,iranian_word,afghan_word
1000,سیب زمینی,کچالو
1001,چرخ دستی,کراچی
1002,گوجه فرنگی,رومی
1003,ذرت,جواری
1004,نردبان,زینه
1005,درجه دار,ضابط
1006,هواپیما,طیاره
1007,گنجشک,غچی
1008,خودکار,قلم
1009,گلابی,ناک
1010,دفتر,کتابچه
1011,خوش رویی,رویه نیک
1012,کودکان,اطفال
1013,مدرسه,مکتب
1014,بخش بندی,هجا
1015,جوی آب,جویچه
1016,می رود,روان می شود
1017,همکلاسی,هم صنف
1018,احترام,عزت
1019,تفریح,میله
1020,بزرگ داشت,تجلیل
1021,درختکاری,نهال شانی
1022,اطلاعات,معلومات
1023,کلمه,لفظ
1024,کثیف,ناپاک
1025,تندرست,صحتمند
1026,پنجره,کلکین
1027,توری,جالی
1028,اب لوله کشی,اب نل
1029,بهداشتی,صحی
1030,دوچرخه,بایسکل
1031,کامل تمام,مکمل
1032,پیاهان,نباتها
1033,چارچوب,چوکات
1034,هندوانه,تربوز
1035,گردو,چهارمغز
1036,بوقلمون,فیل مرغ
1037,جوجه,چوچه 
1038,حیاط,حویلی
1039,تعطیلی,رخصتی
1040,ماشین,موتر
1041,موزه,موزیم
1042,استان,ولایت
1043,تایید,تصدیق
1044,کنار,پهلو
1045,کشاورز,دهقان
1046,کوچک,خرد
1047,بزرگ,کلان
1048,شخم,قلبه
1049,عمامه,لنگی
1050,موجود زنده,زنده حان
1051,قبول,کامیاب
1052,تصادف,تصادم
1053,خیابان,سرک
1054,وسایل کشاورزی,یوغ و اسپار
1055,بخت,طالع
1056,قوانین راهنمایی و رانندگی,قوانین ترافیکی
1057,نامه,رقعه
1058,دانش آموز,متعلم
1059,دانش آموز,شاگرد
1060,اسفناج,سبزی پالک
1061,گوجه فرنگی,بادنجان رومی
1062,فلفل,مرچ
1063,خیار,بادرنگ
1064,,ملی سرخک
1065,خوراکی,خوراکه
1066,بدون دلیل,بی جای
1067,آثار تاریخی,آبدات تاریخی
1068,خاک اره,بوره اره
1069,سیم برق,لین برق
1070,خاموش کننده,اطفاییه
1071,لوبیا سبز,فاصلیه
1072,توسعه,انکشاف
1073,کشاورزی,زراعت
1074,به عنوان,به حیث
1075,یک وجب,یک بلست
1076,شلوغی,ازدحام
1077,شلوغی,بیروبار
1078,چراغ راهنمایی و رانندگی,اشاره های ترافیکی
1079,قسمت,حصه
1080,نقاشی,رسامی
1081,هلال احمر,سره میاشت
1082,مداد,پنسل
1083,کارخانه,فابریکه
1084,مشق شب,کارخانگی
1085,علوم,ساینس
1086,علامت سوال,نشانه سوالیه
1087,درمانده,مسکین
1088,آهسته,خاموشانه
1089,پیشگیری,وقایه
1090,سوئ تغذیه,سوء تغذی
1091,تند,تیز
1092,فکر,مفکوره
1093,تمیزی,صفایی
1094,بیمارستان,شفاخانه
1095,دبیرستان,لیسه
1096,شهر,ولسوالی
1097,حمل و نقل,ترانسپورت
1098,مزرعه,فارم
1099,سیمان,سمنت
1100,بخش,سکتور
1101,فرهنگ,کلتور
1102,خط لوله,پایپ لاین
1103,فرودگاه,میدان هوایی
1104,دریا,بحر
1105,پوشیده,محاط
1106,شهرداری,شاروالی
1107,شیمی,کیمیا
1108,شیمیایی,کیمیایی
1109,سد,بند
1110,دیمی,للمی
1111,لبو,لبلبو
1112,سبزی,ترکاری
1113,پتو,کمپل
1114,دارو,دوا
1115,صنایع سنگیم,صنایع ثقیله
1116, صنایع سبک,صنایع خفیه
1117,مرز,سرحد
1118,کفش,بوت
1119,پرونده,دوسیه
1120,داوطلبانه,رضاکار
1121,ویرگول,کامه
1122,سیستم گوارشی, سیستم هاضمه
1123,سیستم ادراری,سیستم اطراحیه
1124,مغز,دماغ
1125,سنتی- محلی,فلکلور
1126,سال جدید تحصیلی,سال نو تعلیمی
1127,حروف ربط,کلمات نامستقل
1128,بوق,آرنگ
1129,قفسه- کمد,الماری
1130,اکسیژن,اکسیجن
1131,ساعت,بجه
1132,به عنوان,به صفت
1133,شیشه- بطری,بوتل
1134,کیسه- گونی,بوجی
1135,زیست شناسی,بیولوژی
1136,جستجو کردن,پالیدن
1137,سیاست,پالیسی
1138,گربه,پشک
1139,دانشگاه,پوهنتون
1140,زیر زمین,تهکوی
1141,درمان,تداوی
1142,توالت,تشناب
1143,بازرسی,تلاشی
1144,بنزین,تیل
1145,بزرگی,جسامت
1146,بابای مدرسه,چپ راستی
1147,جانورشناسیحیوان شناسی,حیوان شناسی
1148,قلک,دخلک
1149,رودخانه,دریا
1150,حالت تهوع,دل بدی
1151,ثبت نام,راجستر
1152,میدان,ساحه
1153,سنگ بنا,سنگ تهداب
1154,خریدن,سودا
1155,دانش نامه,شهادت نامه
1156,کرسی,صندلی
1157,درصد,فیصد
1158,بابادک,گودی پران
1159,کلاس دوره,کورس
1160,شیمی,کیمیا
1161,لامپ,گروپ
1162,کبریت,گوگرد
1163,آسانسور,لفت
1164,تابلو,لوحه
1165,بازار,مارکت
1166,خسته,مانده
1167,کتبا,مراتب تحریری
1168,مکانیک,مستری
1169,هزینه,مصارف
1170,زیبا,مقبول
1171,مخلوط,مکس
1172,شماره,نمبر
1173,گویندگی,نطاقی
1174,شبه قاره,شبه قاره
1175,هم وطن,وطن دار
1176,مواظب باش,هوش کن
1177,زوشنی,وضاحت
1178,فروردین,حمل
1179,اردیبهشت,ثور
1180,خرداد,جوزا
1181,تیر,سرطان
1182,مرداد,اسد
1183,شهریور,سنبله
1184,مهر,میزان
1185,ابان,عقرب
1186,آذر,قوس
1187,دی,جدی
1188,بهمن, دلو
1189,اسفند,حوت
1190,مهندس,انجینر
1191,دانشسرا,دارالمعلمین
1192,کارآموز,استاژ
1193,دانشجو,محصل
1194,ساختمان,تعمیر
1195,مهر کردن,تاپه کردن
1196,فنی,تخنیکی
1197,طرح,پلان
1198,برنامه,پروگرام
1199,حقوق,معاش
1200,گپ,حرف
1201,دارایی,مالیه
1202,روابط عمومی,ارتباط عامه
1203,اسید,تیزاب
1204,اسکناس,بانکنوت
1205,آموزش و پرورش,معارف
1206,آزمایشگاه,لابراتوار
1207,تمیز,ستره
1208,جیوه,سیماب
1209,حراج,لیلام
1210,حسابداری,محاسبه
1211,زندان,محبس
1212,شناسنامه,تذکره
1213,شیمی آلی,کیمیای عضوی
1214,فرهنگستان,آکادمی
1215,کبد,جگر
1216,کشاورزی,زراعت
1217,گزارش,راپور
1218,مبصر,کفتان
1219,ممیز,اعشاریه
1220,وام,قرضه
1221,وزارت بازرگانی,وزارت تجارت
1222,حق الزحمه,فیس
1223,فرم,فرمه
1224,غایب,غیر حاضر
1225,شوفاژ,مرکز گرمی
1226,سمج,شله
1227,سفره,دسترخوان
1228,سفارشی,فرمایشی
1229,جستجو کردن,پرس و پال
1230,تورم,پندیدگی
1231,رشته سیم,تار
1232,نمایشی,تمثیلی
1233,دست انداز,جمپ
1234,توافق کردن,جور آمدن
1235,ناراحت شدن,خفه شدن
1236,دبیرخانه,دارالانشا
1237,بوسیله,ذریعه
1238,سرگیجه,سرچرخی
1239,میمون,شادی
1240,تکان,شور
1241,رسوم,عنعنات
1242,مزرعه,فارم
1243,بزرگ,کته
1244,کلیه,گرده
1245,لیوان,گیلاس
1246,دایی,ماما
1247,جلسه,محفل
1248,زنان,نسوان
1249,نگرانی,وارخطایی
1250,آگهی,اعلانات
1251,آجر,خشت
1252,آبگوشت,شوربا
1253,آماده,تیار
1254,ارتش,اردو
1255,استاندار,والی
1256,انبار,گدام
1257,انتصاب,تقرر
1258,بازنشسته,متقاعد
1259,پاک کن,پنسل پاک
1260,پایان نامه,مونوگراف
1261,پریز,ساکت
1262,پیشکار,خانه سامان
1263,پنهان,پت
1264,تزریقات,پیچ کاری
1265,تقویم,جنتری
1266,جفت,جوره
1267,چکمه,موزه
1268,حومه,اطراف
1269,حنا,خینه
1270,دادگستری,عدلیه
1271,داروسازی,فارمسی
1272,دانشجو,محصل
1273,دستبند,چوری
1274,رهن,گرو 
1275,سوراخ,غار
1276,سیگار,سگرت
1277,شکر,بوره 
1278,شلوار,ازار
1279,عمل جراحی,عملیات
1280,فرغون,کراچی دستی
1281,فشنگ,کارتوس
1282,فلفل,مرچ
1283,قوری,چاینک
1284,گلوله,مرمی
1285,لثه,بیره
1286,لوازم یدکی,پرزه
1287,منها ,تفریق
1288,میدان,چوک
1289,نرده,کتاره
1290,رشته ,دپارتمنت
1291,کشوری,ملکی
1292,کاج,ناجو
1293,قارچ,سمارق
1294,صاعقه,الماسک
1295,سند ماشین,جواز سیر
1296,سرباز,عسکر
1297,ریه,شش
1298,بازرسی,تفتیش
1299,آشغال,کثافات
1300,آتش سوزی,حریق
